split,source,relpath,label
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-100.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1002.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1003.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1004.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1005.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1009.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1013.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1014.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1015.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1016.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1017.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1018.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1019.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1021.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1022.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1026.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1027.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1029.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-103.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1030.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1032.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1033.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1035.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1036.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1037.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1038.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1039.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-104.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1040.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1041.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1043.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1044.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1049.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-105.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1050.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1051.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1053.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1054.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1055.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1056.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1057.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1058.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1059.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-106.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1061.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1062.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1063.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1065.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1067.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1069.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-107.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1070.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1071.png,0
train,tb_ds,TB_Chest_Radiography_Database/Normal/Normal-1072.png,0
